1.7006,1.6826,1.6816,1.6788,1.677
1.6806,1.6817,1.6687,1.664,1.6606
1.6788,1.673,1.6547,1.6467,1.6562
1.6812,1.6618,1.6575,1.662,1.6433
1.6737,1.6612,1.6439,1.6437,1.6474
1.6606,1.6503,1.6631,1.6388,1.6346
1.6635,1.653,1.6372,1.6465,1.6313
1.6508,1.6565,1.641,1.6423,1.6331
1.6609,1.6442,1.6438,1.6387,1.6349
1.6618,1.6402,1.6365,1.6468,1.6436
1.656,1.6383,1.6462,1.6437,1.6454
1.6545,1.6541,1.6346,1.6173,1.6304
1.6576,1.6369,1.6265,1.6333,1.6487
1.6571,1.6374,1.6352,1.6233,1.625
1.6477,1.6378,1.6421,1.6399,1.6308
1.6378,1.6313,1.6422,1.628,1.6385
1.6482,1.6435,1.632,1.6261,1.6445
1.6331,1.6357,1.6241,1.6252,1.6309
1.6417,1.6338,1.6316,1.6208,1.6169
1.6315,1.6251,1.6249,1.628,1.6313
1.6391,1.6339,1.6317,1.6231,1.6232
1.6368,1.6234,1.6401,1.6095,1.6127
1.6416,1.6375,1.6421,1.6323,1.6265
1.6318,1.6208,1.642,1.6341,1.6211
1.6255,1.6235,1.6397,1.6273,1.6217
1.6366,1.6334,1.6392,1.6249,1.629
1.636,1.6194,1.6314,1.6227,1.6157
1.6413,1.6273,1.6264,1.6299,1.619
1.6509,1.6261,1.6281,1.6313,1.6303
1.6309,1.6215,1.6312,1.6255,1.6239
1.63,1.6287,1.6183,1.6219,1.6209
1.6381,1.6289,1.6266,1.6286,1.627
1.6316,1.6328,1.6197,1.6373,1.6307
1.6399,1.6144,1.6326,1.613,1.6232
1.63,1.626,1.6282,1.6136,1.6117
1.6366,1.6299,1.6226,1.6259,1.6194
1.6317,1.6324,1.6311,1.6238,1.6122
1.6148,1.6353,1.6244,1.6202,1.6193
1.6449,1.6214,1.6328,1.6305,1.6316
1.6339,1.617,1.6153,1.6133,1.6226
1.623,1.6188,1.6384,1.6164,1.6233
1.6417,1.6238,1.6312,1.6141,1.6359
1.6347,1.628,1.6115,1.636,1.6402
1.6232,1.6276,1.6307,1.6176,1.6269
1.6336,1.611,1.6174,1.6267,1.6254
1.6376,1.6341,1.6242,1.6192,1.625
1.6335,1.6335,1.6212,1.6169,1.6239
1.6222,1.6358,1.6246,1.6126,1.6094
1.6224,1.6193,1.6194,1.6278,1.6254
1.6408,1.6291,1.6384,1.6183,1.622
1.6325,1.6244,1.6203,1.6095,1.6253
1.6213,1.6197,1.618,1.6212,1.6318
1.6277,1.6282,1.6244,1.6278,1.6349
1.6291,1.6199,1.6376,1.6351,1.6247
1.627,1.6313,1.6244,1.6221,1.6288
1.6433,1.6232,1.6256,1.6323,1.6264
1.6244,1.6359,1.6325,1.6407,1.6174
1.635,1.6328,1.6264,1.6176,1.6152
1.64,1.6201,1.6298,1.6273,1.6344
1.6347,1.6209,1.6279,1.6258,1.6224
1.6246,1.619,1.6175,1.6257,1.623
1.6336,1.6177,1.6149,1.6206,1.616
1.6343,1.6345,1.6251,1.6301,1.6206
1.6338,1.6276,1.6245,1.6149,1.6158
1.6449,1.6307,1.619,1.6221,1.6227
1.6237,1.6261,1.6251,1.6154,1.6159
1.6363,1.6209,1.6168,1.6052,1.6335
1.6258,1.6237,1.6228,1.6173,1.6256
1.6343,1.6074,1.624,1.6176,1.6102
1.6414,1.6369,1.6135,1.6135,1.6123
1.6454,1.6301,1.6119,1.6145,1.6153
1.6405,1.6265,1.6148,1.6148,1.6224
1.6389,1.6324,1.6227,1.6309,1.6245
1.6488,1.6314,1.6085,1.6345,1.6195
1.6546,1.6208,1.6165,1.6233,1.6076
1.6531,1.6345,1.6355,1.6336,1.6293
1.6559,1.6318,1.6179,1.6131,1.6223
1.6733,1.6402,1.6189,1.6265,1.6218
1.6572,1.6341,1.6328,1.6151,1.6068
1.6574,1.6293,1.6217,1.6149,1.6152
1.6584,1.6499,1.6403,1.6148,1.6239
1.6635,1.639,1.6312,1.6202,1.6223
1.6607,1.6222,1.6172,1.6234,1.6109
1.6703,1.6236,1.6194,1.6123,1.6208
1.6634,1.6267,1.6257,1.6164,1.6208
1.6706,1.6449,1.6186,1.6118,1.6082
1.6704,1.641,1.6264,1.6212,1.623
1.6712,1.6405,1.6145,1.6284,1.609
1.6737,1.658,1.6395,1.6358,1.6175
1.6778,1.6546,1.6196,1.6449,1.625
1.6962,1.6458,1.64,1.6316,1.6114
1.6868,1.6593,1.6461,1.628,1.6313
1.6758,1.6538,1.6538,1.6254,1.6334
1.6937,1.6651,1.6434,1.6412,1.6327
1.6911,1.6641,1.6489,1.629,1.6312
1.6956,1.6685,1.6487,1.6313,1.6286
1.6989,1.6757,1.6458,1.6467,1.6185
1.6978,1.6726,1.6483,1.6498,1.6386
1.6943,1.6636,1.6564,1.6344,1.6268
1.7039,1.6668,1.6633,1.6468,1.6437
